date,year,sla_code,minave,maxave,solarave,vprph09,vprph15
1/01/1995,1995,805104779,13.24,32.45,33.54999924,16.58,8.36
2/01/1995,1995,805104779,14.65,17.49,3.730000019,11.61,10.98
3/01/1995,1995,805104779,11.94,20.01,10.89000034,11.21,12.58
4/01/1995,1995,805104779,14.47,28.56,15.63000011,17.84,17.64
5/01/1995,1995,805104779,17.79,25.92,12.93999958,19.98,18.36
6/01/1995,1995,805104779,16.93,23.98,8.630000114,18.71,18.39
7/01/1995,1995,805104779,12.79,23.18,27.60000038,12.71,12.56
8/01/1995,1995,805104779,13.37,22.28,20.31999969,13.29,13.25
9/01/1995,1995,805104779,11.88,26.37,NA,12.73,11.53
10/01/1995,1995,805104779,13.61,28.97,NA,14.11,11.99
11/01/1995,1995,805104779,13.96,29.78,31.20999908,15.91,14.48
12/01/1995,1995,805104779,14.44,33.14,28.36000061,18.28,12.71
13/01/1995,1995,805104779,15.16,32.95,31.32999992,16.51,13.67
14/01/1995,1995,805104779,13.59,32.44,30.31999969,15.58,11.43
15/01/1995,1995,805104779,16.93,30.41,15.84000015,17.78,13.26
16/01/1995,1995,805104779,17.79,32.94,23.29000092,19.45,15.02
17/01/1995,1995,805104779,16.48,23.43,NA,17.74,19.69
18/01/1995,1995,805104779,17.27,28.73,18.77000046,19.46,18.58
19/01/1995,1995,805104779,17.98,21.25,7.309999943,17.69,17.84
20/01/1995,1995,805104779,16.86,19.52,NA,18.08,18.21
21/01/1995,1995,805104779,14.71,22.62,28.61000061,13.92,12.01
22/01/1995,1995,805104779,7.34,20.54,25.22999954,7.42,10.35
23/01/1995,1995,805104779,11.12,21.99,NA,10.41,10.99
24/01/1995,1995,805104779,9.62,27.69,29.89999962,12.49,12.46
25/01/1995,1995,805104779,11.1,27.67,24.09000015,14.08,13.97
26/01/1995,1995,805104779,13.98,22.85,15.56999969,13.56,13.88
27/01/1995,1995,805104779,14.78,25.71,NA,14.56,15.36
28/01/1995,1995,805104779,15.77,20.93,3.589999914,17.23,19.03
29/01/1995,1995,805104779,12.46,26.35,30.30999947,16.55,16.07
30/01/1995,1995,805104779,12.26,27.88,27.89999962,16.36,13.55
31/01/1995,1995,805104779,15.89,25.88,30.75,13.95,12.36
1/02/1995,1995,805104779,12.13,22.85,24.13999939,11.86,12.9
2/02/1995,1995,805104779,9.8,27.41,30.77000046,13.99,13.26
3/02/1995,1995,805104779,14.96,30.22,27.26000023,14.78,12.63
4/02/1995,1995,805104779,11.84,27.71,31.31999969,12.54,10.37
5/02/1995,1995,805104779,11.17,31.03,24.62999916,15.82,17.11
6/02/1995,1995,805104779,12.8,21.82,31.28000069,10.63,6.84
7/02/1995,1995,805104779,9.59,25.07,29.12999916,11.96,11.59
8/02/1995,1995,805104779,10.49,26.67,29.70000076,13.71,12.64
9/02/1995,1995,805104779,12.61,26.91,28.29999924,15.04,12.23
10/02/1995,1995,805104779,14.93,24.76,21.79000092,14.7,14.83
11/02/1995,1995,805104779,14.34,26.44,22.92000008,15.87,14.92
12/02/1995,1995,805104779,12.63,28.05,26.02000046,14.69,13.79
13/02/1995,1995,805104779,11.34,26.86,24.20999908,15.35,13.96
14/02/1995,1995,805104779,12.03,25.94,24.06999969,15.05,14.05
15/02/1995,1995,805104779,14,26.53,21.71999931,15.54,13.38
16/02/1995,1995,805104779,15.65,25.32,13.84000015,17.41,16.97
17/02/1995,1995,805104779,15.12,24.31,18.54000092,16.89,16.13
18/02/1995,1995,805104779,11.97,28.52,28.12000084,14.63,13.93
19/02/1995,1995,805104779,13.39,27.3,28.20999908,13.68,12.27
20/02/1995,1995,805104779,10.6,21.7,NA,12.4,13.12
21/02/1995,1995,805104779,10.56,24.86,24.34000015,13.6,12.42
22/02/1995,1995,805104779,9.78,28.19,20.87999916,14.78,12.41
23/02/1995,1995,805104779,13.29,24.88,NA,15.01,13.87
24/02/1995,1995,805104779,14.38,29.74,26.73999977,14.93,12.56
25/02/1995,1995,805104779,10.91,32.15,27.80999947,13.02,10.41
26/02/1995,1995,805104779,12.4,33.83,25.62999916,13.74,11.43
27/02/1995,1995,805104779,13.32,29.76,24.17000008,14.62,12.72
28/02/1995,1995,805104779,16.77,21.22,4.789999962,17.38,17.18
1/03/1995,1995,805104779,14.39,21.21,18.12000084,12.36,13.71
2/03/1995,1995,805104779,10.7,20.38,15.02999973,11.14,12.32
3/03/1995,1995,805104779,13.61,21.39,20.82999992,13.14,11.88
4/03/1995,1995,805104779,12.27,18.91,5.650000095,12.6,13.74
5/03/1995,1995,805104779,14.09,23.96,21.65999985,14.67,17.54
6/03/1995,1995,805104779,17.48,26.14,19.65999985,20.11,20.43
7/03/1995,1995,805104779,17,25.27,20.09000015,17.84,15.12
8/03/1995,1995,805104779,14.66,30.86,24.38999939,18.01,15.08
9/03/1995,1995,805104779,16.59,27.25,16.46999931,16.45,16.12
10/03/1995,1995,805104779,10.11,23.35,24.71999931,10.61,11.14
11/03/1995,1995,805104779,7.84,23.83,21.19000053,12.39,11.9
12/03/1995,1995,805104779,7.87,26.37,24.38999939,13.15,9.35
13/03/1995,1995,805104779,5.24,22.61,24.47999954,6.88,7.4
14/03/1995,1995,805104779,2.75,26.65,NA,9.84,6.71
15/03/1995,1995,805104779,10.44,22.36,22.02000046,12.32,9.24
16/03/1995,1995,805104779,8.98,22.14,21.46999931,10.29,10.3
17/03/1995,1995,805104779,7.93,26.63,21.09000015,12.28,10.18
18/03/1995,1995,805104779,10.54,25.75,20.98999977,6.79,7.93
19/03/1995,1995,805104779,11.4,21.57,13.57999992,9.96,8.56
20/03/1995,1995,805104779,5.42,24.82,22.12000084,11.01,8.4
21/03/1995,1995,805104779,6.04,27.27,22.53000069,9.31,8.31
22/03/1995,1995,805104779,8.71,26.11,21.80999947,12.7,11.27
23/03/1995,1995,805104779,10.62,26.19,20.78000069,13.61,8.15
24/03/1995,1995,805104779,12.54,24.41,21.14999962,10.44,8.23
25/03/1995,1995,805104779,6.22,20.08,20.90999985,8.05,7.68
26/03/1995,1995,805104779,8.53,22.24,13.89999962,11.79,11.82
27/03/1995,1995,805104779,6.96,23.07,20.70000076,10.62,8.59
28/03/1995,1995,805104779,11.41,21.28,14.73999977,11.96,6.96
29/03/1995,1995,805104779,6.18,19.19,14.14000034,10.36,7.86
30/03/1995,1995,805104779,3.4,22,19.96999931,9.11,7.76
31/03/1995,1995,805104779,10.48,16.47,15.56000042,7.53,8.29
1/04/1995,1995,805104779,-0.23,16.94,20.43000031,6.64,5.07
2/04/1995,1995,805104779,5.21,18.35,12.06999969,6.92,8.5
3/04/1995,1995,805104779,-0.45,19.55,19.96999931,7.52,6.3
4/04/1995,1995,805104779,2.29,22.2,19.76000023,9.19,7.05
5/04/1995,1995,805104779,7.96,18.21,11.60999966,9.11,8.54
6/04/1995,1995,805104779,1.55,16.75,18.67000008,7.48,6.25
7/04/1995,1995,805104779,6.27,10.5,16.13999939,5.93,5.36
8/04/1995,1995,805104779,2.49,12.37,15.14000034,6.64,8.75
9/04/1995,1995,805104779,2.77,14.2,16.55999947,6.83,7.79
10/04/1995,1995,805104779,6.35,13.98,13.77999973,6.72,7.01
11/04/1995,1995,805104779,6.59,19.91,18.02000046,8.29,8.16
12/04/1995,1995,805104779,2.89,19.85,17.68000031,8.97,8.2
13/04/1995,1995,805104779,4.54,18.87,15.56999969,9.82,9.39
14/04/1995,1995,805104779,8.39,17.12,11.06999969,10.41,10.8
15/04/1995,1995,805104779,8.47,19.34,8.100000381,11.94,12.07
16/04/1995,1995,805104779,11.6,20.99,8.43999958,13.43,13.44
17/04/1995,1995,805104779,7.09,13.04,14.25,7.24,8.28
18/04/1995,1995,805104779,5.64,18.82,16.78000069,10.17,8.08
19/04/1995,1995,805104779,8.54,18.02,16.37000084,7.43,7.01
20/04/1995,1995,805104779,1.23,17.52,16.5,8.11,6.08
21/04/1995,1995,805104779,-0.22,18.73,NA,7.65,7.39
22/04/1995,1995,805104779,3.33,20.36,16.10000038,9.66,8.58
23/04/1995,1995,805104779,3.58,20.33,13.81000042,9.7,8.24
24/04/1995,1995,805104779,8.17,19.92,15.06999969,8.28,7.88
25/04/1995,1995,805104779,2.81,19.37,15.23999977,9.09,7.03
26/04/1995,1995,805104779,0.97,21.49,NA,8.12,8.12
27/04/1995,1995,805104779,5.33,17.88,NA,10.48,10.72
28/04/1995,1995,805104779,9.94,22.21,NA,11.72,10.08
29/04/1995,1995,805104779,4.42,23.7,13.68999958,10.26,10.5
30/04/1995,1995,805104779,6.7,22.6,8.659999847,10.52,10.89
1/05/1995,1995,805104779,12.39,16.81,3.359999895,15.1,15.09
2/05/1995,1995,805104779,13.78,18.01,3.769999981,15.78,15.73
3/05/1995,1995,805104779,11.83,18.17,11.78999996,13.2,10.26
4/05/1995,1995,805104779,6.17,13.63,10.59000015,10.27,8.67
5/05/1995,1995,805104779,5.44,14.81,11.73999977,8.17,7.89
6/05/1995,1995,805104779,3.18,16.32,11.55000019,8.87,8.85
7/05/1995,1995,805104779,5.69,15.62,9.949999809,9.68,11
8/05/1995,1995,805104779,7.14,15.06,7.010000229,9.22,8.53
9/05/1995,1995,805104779,7.31,17.25,12.57999992,8.74,9.63
10/05/1995,1995,805104779,9.17,15.96,5.570000172,11.5,12.42
11/05/1995,1995,805104779,9.29,18.71,NA,12.52,12.96
12/05/1995,1995,805104779,11.27,20.3,NA,14.08,14.36
13/05/1995,1995,805104779,13.03,20.06,0.400000006,14.41,15.16
14/05/1995,1995,805104779,10.91,16.65,9.399999619,11.42,10.84
15/05/1995,1995,805104779,4.62,15.56,13.10000038,8.69,8.43
16/05/1995,1995,805104779,1.82,16.18,10.92000008,8.74,9.85
17/05/1995,1995,805104779,7.64,13.28,1,11.57,11.61
18/05/1995,1995,805104779,10.5,15.35,NA,11.28,12.19
19/05/1995,1995,805104779,5.24,17.6,6.340000153,10.64,10.36
20/05/1995,1995,805104779,4.75,14.88,NA,9.11,8.31
21/05/1995,1995,805104779,5.74,16.06,NA,8.76,9.59
22/05/1995,1995,805104779,5.26,15.27,NA,9.44,9.24
23/05/1995,1995,805104779,2.87,14.35,NA,8.65,9.06
24/05/1995,1995,805104779,5.92,16.48,10.53999996,9.75,10.2
25/05/1995,1995,805104779,9.13,14.19,NA,12.15,8.97
26/05/1995,1995,805104779,6.84,11.63,7.070000172,9.62,8.71
27/05/1995,1995,805104779,4.08,11.15,11.57999992,6.16,6.49
28/05/1995,1995,805104779,2.73,14.47,9.770000458,8.9,9.19
29/05/1995,1995,805104779,3.22,13.17,8.68999958,8.91,8.7
30/05/1995,1995,805104779,2.66,12.3,7.349999905,8,9.56
31/05/1995,1995,805104779,2.88,15.67,10.47999954,8.09,9.77
1/06/1995,1995,805104779,4.49,14.27,7.25,9.72,8.75
2/06/1995,1995,805104779,4.11,13.69,9.890000343,8.43,9.01
3/06/1995,1995,805104779,4.4,12.77,6.409999847,8.9,8.95
4/06/1995,1995,805104779,4.41,12.16,6.739999771,8.53,7.91
5/06/1995,1995,805104779,1.98,12.88,8.43999958,7.62,7.29
6/06/1995,1995,805104779,1.4,13.92,7.010000229,7.78,9.73
7/06/1995,1995,805104779,3.95,14.16,2.529999971,10.99,11.71
8/06/1995,1995,805104779,8.08,16.88,3.75999999,12,13.43
9/06/1995,1995,805104779,12.8,18.94,7.659999847,13.9,12.87
10/06/1995,1995,805104779,10.47,12.06,0.600000024,11.01,10.8
11/06/1995,1995,805104779,7.17,10.75,NA,8.89,8.56
12/06/1995,1995,805104779,4.9,11.31,NA,8.19,7.16
13/06/1995,1995,805104779,1.32,11.64,NA,7.12,7.25
14/06/1995,1995,805104779,2.77,11.13,9.159999847,7.7,7.66
15/06/1995,1995,805104779,1.75,8.1,2.640000105,7.58,8.22
16/06/1995,1995,805104779,4.43,11.99,NA,7.42,7.5
17/06/1995,1995,805104779,1.42,8.55,NA,6.45,4.48
18/06/1995,1995,805104779,-0.84,10.89,8.279999733,4.96,6.99
19/06/1995,1995,805104779,0.64,12.42,9.43999958,6.91,7.2
20/06/1995,1995,805104779,-2.56,11.49,10.75,5.46,7.63
21/06/1995,1995,805104779,-1.55,8.82,10.69999981,4.85,4.43
22/06/1995,1995,805104779,-2.23,10.86,10.10999966,5.62,6.55
23/06/1995,1995,805104779,-3.43,10.92,5.929999828,5.5,7.21
24/06/1995,1995,805104779,-3.39,11.71,10.32999992,5.19,7.35
25/06/1995,1995,805104779,-0.93,12.72,4.949999809,7.12,7.82
26/06/1995,1995,805104779,5.68,13.83,8.880000114,7.9,8.17
27/06/1995,1995,805104779,2.67,13.29,NA,10.62,8.42
28/06/1995,1995,805104779,0.3,10.11,NA,6.18,5.97
29/06/1995,1995,805104779,4,8.59,6.699999809,7.62,5.5
30/06/1995,1995,805104779,3.25,9.56,6.809999943,7.41,7.27
1/07/1995,1995,805104779,3.67,8.96,9.949999809,6.8,6.84
2/07/1995,1995,805104779,3.47,10.15,9.229999542,6.69,6.29
3/07/1995,1995,805104779,4.32,10.42,7.909999847,8.37,9.21
4/07/1995,1995,805104779,-1.7,10.12,NA,5.94,6.2
5/07/1995,1995,805104779,-2.86,7.25,6.78000021,5.62,6.03
6/07/1995,1995,805104779,-1.8,10.03,8.949999809,5.3,6.96
7/07/1995,1995,805104779,-0.5,10.61,8.880000114,6.19,7.3
8/07/1995,1995,805104779,-3.29,9.7,10.68000031,5.21,6.79
9/07/1995,1995,805104779,-2.96,6.93,8.079999924,5.42,6.18
10/07/1995,1995,805104779,-3.13,7.72,8.909999847,5.42,5.78
11/07/1995,1995,805104779,-1.02,9.62,3.720000029,6.89,7.17
12/07/1995,1995,805104779,4.38,9.95,NA,8.22,8.04
13/07/1995,1995,805104779,3.54,11.25,NA,8.76,10.53
14/07/1995,1995,805104779,4.98,10.33,NA,7.08,6.61
15/07/1995,1995,805104779,5.07,9.86,9.619999886,6.34,6.08
16/07/1995,1995,805104779,2.44,11.93,8.260000229,8.13,8.39
17/07/1995,1995,805104779,5.63,10.18,NA,9.41,10.12
18/07/1995,1995,805104779,5.2,9.98,NA,7.54,6.75
19/07/1995,1995,805104779,3.19,9.16,10.19999981,6.16,6.66
20/07/1995,1995,805104779,-2.39,10.7,NA,5.6,6.82
21/07/1995,1995,805104779,-2.49,8.15,6.010000229,5.57,6.62
22/07/1995,1995,805104779,0.24,11.92,9.779999733,6.34,6.92
23/07/1995,1995,805104779,3.53,11.26,7.170000076,8.83,8.52
24/07/1995,1995,805104779,1.93,11.48,NA,7.81,7.2
25/07/1995,1995,805104779,-1.69,9.21,7.929999828,6.2,6.97
26/07/1995,1995,805104779,-0.3,11.87,NA,6,5.76
27/07/1995,1995,805104779,0.44,8.93,5.320000172,7.35,8.38
28/07/1995,1995,805104779,0.59,11.04,NA,7.36,7.32
29/07/1995,1995,805104779,2.31,8.91,12.92000008,6.88,6.38
30/07/1995,1995,805104779,1.01,8.66,8.760000229,6.69,6.95
